attributes,Id,Name,Territory__c,BillingState,BillingCountry
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0010h00001cxu3wAAA'})",0010h00001cxu3wAAA,Lidl Schweiz,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0010h00001cxu4GAAQ'})",0010h00001cxu4GAAQ,LR Health & Beauty Systems GmbH,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0010h00001cxu4KAAQ'})",0010h00001cxu4KAAQ,LeasePlan UK,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0010h00001cxu5mAAA'})",0010h00001cxu5mAAA,Lenovo UK & Ireland,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0010h00001cxuAOAAY'})",0010h00001cxuAOAAY,Marie Curie UK,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0010h00001cxuAaAAI'})",0010h00001cxuAaAAI,Latchways PLC,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0010h00001cxuBuAAI'})",0010h00001cxuBuAAI,LeasePlan Finland,,,Finland
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0010h00001cxuMvAAI'})",0010h00001cxuMvAAI,Lantmännen Unibake,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0010h00001cxuPYAAY'})",0010h00001cxuPYAAY,Leeds Building Society,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0010h00001cxuPdAAI'})",0010h00001cxuPdAAI,LaSalle Investment Management,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0010h00001cxuTFAAY'})",0010h00001cxuTFAAY,LUKOIL,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0010h00001cxuvUAAQ'})",0010h00001cxuvUAAQ,LGC,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0010h00001cxuvfAAA'})",0010h00001cxuvfAAA,London Marriott Grosvenor Square,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0010h00001dvuobAAA'})",0010h00001dvuobAAA,Lineten,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0010h00001fckfYAAQ'})",0010h00001fckfYAAQ,Le Creuset,,,United Kingdom
